IDADE,TEMPO_NA_ONG,INDE_ANTERIOR,IAA_ANTERIOR,IEG_ANTERIOR,IPS_ANTERIOR,IDA_ANTERIOR,IPP_ANTERIOR,IPV_ANTERIOR,IAN_ANTERIOR,ALUNO_NOVO,GENERO,TURMA,INSTITUICAO_ENSINO,FASE,RISCO_DEFASAGEM,ANO_REFERENCIA,prediction
21.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1,Feminino,8E,Privada *Parcerias com Bolsa 100%,8E,0,2024,0
9.0,1,7.9162,8.5,9.4,3.77,7.0,6.25,8.92,10.0,0,Feminino,1N,Pública,1N,0,2024,0
10.0,1,8.1162,9.0,9.1,7.52,7.8,7.5,9.17,5.0,0,Feminino,1N,Pública,1N,1,2024,1
10.0,1,7.9012,9.0,9.7,7.52,7.0,6.25,8.92,5.0,0,Feminino,ALFA N - G2/G3,Pública,ALFA,1,2024,1
9.0,1,7.6522,9.0,8.5,7.52,4.0,7.5,8.75,10.0,0,Masculino,ALFA J - G2/G3,Pública,ALFA,1,2024,1
9.0,1,8.3137,9.0,9.6,7.52,7.9,6.875,7.42,10.0,0,Feminino,ALFA J - G2/G3,Pública,ALFA,1,2024,1
9.0,1,8.5922,9.0,9.3,7.52,8.7,7.5,8.0,10.0,0,Feminino,ALFA J - G2/G3,Pública,ALFA,1,2024,0
9.0,1,8.13595,9.0,8.6,7.52,8.4,5.9375,7.5,10.0,0,Masculino,ALFA I - G2/G3,Pública,ALFA,1,2024,0
9.0,1,7.245,0.0,9.0,3.77,8.8,7.5,7.84,10.0,0,Masculino,ALFA E - G2/G3,Pública,ALFA,1,2024,1
9.0,1,7.96495,10.0,9.9,3.77,6.6,7.1875,7.845,10.0,0,Feminino,ALFA C - G0/G1,Pública,ALFA,1,2024,0
8.0,1,7.6237,9.0,9.6,4.39,8.3,5.625,5.76,10.0,0,Masculino,ALFA E - G2/G3,Pública,ALFA,1,2024,0
8.0,1,8.2582,9.0,9.7,3.77,8.2,7.5,8.255,10.0,0,Feminino,ALFA E - G2/G3,Pública,ALFA,1,2024,0
11.0,1,7.538908333,10.0,9.3,6.27,6.3,7.34375,7.786666667,5.0,0,Feminino,2B,Pública,2B,0,2024,1
12.0,1,6.505333333,0.0,8.0,5.02,7.7,7.5,8.116666667,5.0,0,Masculino,2C,Pública,2C,0,2024,1
10.0,1,6.824,0.0,8.5,5.02,6.3,7.5,8.06,10.0,0,Masculino,1A,Pública,1A,1,2024,0
9.0,1,7.177033333,7.5,9.1,5.02,4.3,6.875,7.836666667,10.0,0,Feminino,1A,Pública,1A,0,2024,1
10.0,1,7.612283333,10.0,9.1,2.52,6.1,7.1875,8.056666667,10.0,0,Feminino,1A,Pública,1A,0,2024,0
10.0,1,6.964616667,8.0,9.2,3.77,3.3,7.1875,7.893333333,10.0,0,Masculino,1A,Pública,1A,1,2024,1
10.0,1,7.164616667,8.5,8.5,3.77,4.7,7.1875,7.893333333,10.0,0,Masculino,1A,Pública,1A,1,2024,1
